1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],8. Apparent diameter [km],11. Floor diameter [km],14. Apparent depth [km],16. Interior volume [km^3],20. Height of central peak [km],51. Age
Censorinus K,4.49,-1.02,28.85,3.73,0.44,0.776,3.62,0,
Censorinus L,3.71,-2.77,31.23,3.08,0.31,0.648,2.04,0,
Censorinus N,36.31,-1.93,36.6,31.23,16.61,2.129,955.52,0.71,Nectarian
Censorinus S,15.55,-3.82,36.19,12.91,3.93,2.497,0,0,
Censorinus T,3.73,-3.22,31.16,3.1,0.32,0.652,2.08,0,
Censorinus U,3.44,-1.51,34.44,2.86,0.27,0.604,1.63,0,
Censorinus V,4.24,-0.65,35.45,3.52,0.4,0.735,3.05,0,
Censorinus W,8.26,-1.02,37.49,6.86,1.29,1.377,22.54,0,
Censorinus X,16.9,-0.59,37.19,14.03,4.56,2.701,0,0,
Censorinus Z,11.49,-3.68,36.8,9.54,2.31,1.878,60.68,0,
Cepheus,39.43,40.68,45.78,33.91,18.41,2.183,1155.94,0.84,Eratosthenian
Cepheus A,12.47,41.04,46.51,10.35,2.66,2.029,77.56,0,
Chacornac,50.44,29.88,31.67,43.38,25.04,2.353,2041.68,1.36,
Chacornac A,5.24,29.82,31.58,4.35,0.58,0.897,5.76,0,
Chacornac B,5.03,28.94,31.91,4.17,0.54,0.863,5.09,0,
Chacornac C,4.89,30.78,32.58,4.06,0.51,0.841,4.68,0,
Chacornac D,25.13,30.73,33.63,21.61,10.49,1.904,408.34,0.34,
Chacornac E,20.06,29.45,33.81,17.25,7.92,1.778,242.64,0.22,
Chacornac F,21.58,29.13,33.05,18.56,8.67,1.818,287.23,0.25,
Chadwick,29.74,-52.85,-101.34,25.58,12.94,2.004,602.55,0.48,
Chaffee,51.75,-39.06,-154.63,44.51,25.85,2.371,2166.26,0,Nectarian
Chaffee F,36.13,-39.03,-153.11,31.07,16.51,2.126,944.61,0.7,Nectarian
Chaffee S,19.88,-39.77,-157.49,17.1,6.07,1.773,237.64,0.22,
Chaffee W,24.62,-38.48,-156.12,21.17,10.22,1.892,389.45,0.33,
Challis,53.21,79.58,9.09,45.76,26.77,2.392,2310.05,0,
Challis A,31.82,77.27,1.98,27.37,14.08,2.046,704.39,0.55,
Chalonge,25.08,-20.44,-116.35,21.57,10.46,1.903,406.47,0.34,
Chamberlin,60.41,-58.83,96.04,51.95,31.37,2.717,3096.98,0,Nectarian
Chamberlin D,21.07,-57.05,102.41,18.12,8.42,1.805,271.8,0.24,
Chamberlin H,27.28,-59.63,99.98,23.46,11.62,1.952,493.6,0.4,
Chamberlin R,38.29,-59.94,92.62,32.93,17.75,2.164,1080.2,0.79,
Champollion,48.97,37.39,175.03,42.11,24.13,2.332,1906.85,1.28,
Champollion A,26.94,41.06,177.22,23.17,11.44,1.945,479.51,0.39,
Champollion F,20.91,37.19,177.84,17.98,8.34,1.8,267.05,0.24,
Champollion K,22.25,36.35,176.31,19.14,9.01,1.835,308.25,0.27,
Champollion Y,24.93,40.67,174.64,21.44,10.38,1.899,400.87,0.34,
Chandler,88.6,43.65,171.76,76.2,50.6,2.823,7501.51,0,pre-Nectarian
Chandler G,32.12,43.23,175.71,27.62,14.25,2.051,719.83,0.56,Nectarian
Chandler P,65.59,41.54,170.15,56.41,34.76,2.739,3745.17,0,Nectarian
Chandler Q,15.46,41.01,169.3,12.83,3.89,2.484,0,0,
Chandler U,14.7,45.42,166.8,12.2,3.56,2.369,0,0,
Chang Heng,42.65,18.9,112.21,36.68,20.31,2.236,1385.77,0.98,Nectarian
Chang Heng C,19.9,20.38,113.93,17.11,6.08,1.774,238.19,0.22,
Chang-Ngo,2.34,-12.69,-2.16,1.94,0.14,0.42,0.51,0,
Chant,33.6,-40.14,-109.46,28.9,15.07,2.08,798.77,0.61,Upper Imbrian
Chaplygin,123.39,-5.76,150.24,106.12,76.53,2.918,16122.55,0,Nectarian
Chaplygin K,19.55,-7.68,151.36,16.81,5.89,1.764,228.63,0.21,
Chaplygin Q,12.69,-7.64,147.91,10.53,2.75,2.062,81.74,0,
Chaplygin Y,27.53,-2.71,149.64,23.68,11.75,1.957,504.11,0.41,
Chapman,76.83,50.09,-100.47,66.07,42.35,2.783,5397.01,0,pre-Nectarian
Chapman D,35.99,51.25,-96.81,30.95,16.43,2.124,936.17,0.7,
Chapman M,37.24,48.63,-100.58,32.03,17.14,2.146,1013,0.75,
Chapman V,22.26,50.91,-104.29,19.14,9.01,1.835,308.57,0.27,
Chappe,55.79,-61.29,-91.24,47.98,28.4,2.426,2577.05,0,Nectarian
Chappell,73.92,54.53,-176.77,63.57,40.36,2.772,4936.48,0,pre-Nectarian
Chappell E,59.17,55.4,-171.19,50.89,30.56,2.711,2952.1,0,
Chappell T,28.21,54.51,179.06,24.26,12.12,1.972,533.34,0.43,
Charles,1.34,29.9,-26.37,1.11,0.05,0.249,0.1,0,
Charlier,109.88,36.22,-131.69,94.5,66.21,2.884,12333.86,0,Nectarian
Charlier Z,45.92,39.11,-131.76,39.49,22.27,2.287,1643.62,1.13,Nectarian
Chaucer,45.48,3.39,-140.71,39.11,22,2.28,1607.47,1.11,Nectarian
Chaucer B,33.35,6.22,-137.87,28.68,14.93,2.075,785.11,0.6,
Chaucer P,11.6,1.37,-141.91,9.63,2.34,1.895,62.44,0,
Chauvenet,77.67,-11.64,137.2,66.8,42.93,2.786,5534.29,0,Nectarian
Chauvenet C,45.87,-10.48,138.18,39.45,22.24,2.286,1639.49,1.13,Lower Imbrian
Chauvenet D,12.04,-10.74,139.95,9.99,2.5,1.963,69.81,0,
Chauvenet E,26.54,-11.33,140.82,22.82,11.23,1.936,463.22,0.38,
Chauvenet G,24.51,-12.64,141.13,21.08,10.17,1.89,385.44,0.33,
Chauvenet J,75.7,-14.21,139.51,65.1,41.58,2.779,5215.41,0,pre-Nectarian
Chauvenet L,9.59,-13.31,137.78,7.96,1.68,1.585,35.28,0,
Chauvenet P,11.55,-14.49,136.22,9.59,2.33,1.888,61.63,0,
Chauvenet Q,41.72,-13.38,135.92,35.88,19.75,2.221,1316.96,0.93,Nectarian
Chauvenet S,37.55,-12.29,134.41,32.29,17.32,2.151,1032.59,0.76,
Chauvenet U,9.99,-11.11,135.47,8.29,1.8,1.647,39.88,0,
Chawla,14.25,-42.48,-147.49,11.83,3.37,2.3,0,0,
Chebyshev,179.05,-34.01,-132.88,153.98,0,3.028,0,0,Nectarian
Chebyshev C,26.86,-30.29,-127.51,23.1,11.4,1.943,476.22,0.39,
Chebyshev N,24.43,-37.75,-134.67,21.01,10.12,1.888,382.54,0.33,
Chebyshev U,35.68,-33.29,-137.1,30.68,16.25,2.118,917.65,0.69,Eratosthenian
Chebyshev V,23.74,-33.53,-133.99,20.42,9.77,1.871,358.04,0.31,
Chernyshev,59.31,47.01,174.41,51.01,30.65,2.712,2968.26,0,Nectarian
Chernyshev B,20.91,48.3,176.01,17.98,8.34,1.8,267.05,0.24,
Chevallier,51.83,45.01,51.57,44.57,25.9,2.373,2174,0,
Chevallier B,12.05,45.15,51.96,10,2.51,1.964,69.99,0,
Chevallier F,8.53,46.2,56.6,7.08,1.36,1.419,24.83,0,
Chevallier K,5.56,43.52,50.86,4.61,0.64,0.949,6.88,0,
Chevallier M,16.27,46.04,51.16,13.5,4.26,2.606,0,0,
Ching-Te,3.7,20.02,29.97,3.07,0.31,0.647,2.03,0,
Chladni,13.07,3.99,1.12,10.85,2.89,2.121,0,0,
Chretien,98.63,-46.11,162.99,84.82,57.86,2.853,9610.32,0,pre-Nectarian
Chretien A,12.05,-43.39,163.14,10,2.51,1.964,69.99,0,
Chretien C,63.58,-44.76,165.42,54.68,33.43,2.73,3485.36,0,pre-Nectarian
Chretien S,40.08,-46.66,160.38,34.47,18.79,2.194,1200.44,0.86,
Chretien W,34.22,-44.55,160.84,29.43,15.42,2.091,833.23,0.63,Nectarian
Cichus,39.18,-33.29,-21.18,33.69,18.26,2.179,1139.08,0.83,Eratosthenian
Cichus A,19.82,-34.82,-21.52,17.05,6.04,1.771,235.99,0.22,
Cichus B,13.84,-33.19,-19.38,11.49,3.2,2.238,0,0,
Cichus C,11.51,-33.57,-21.86,9.55,2.31,1.882,60.99,0,
Cichus F,7.83,-35.68,-22.52,6.5,1.17,1.309,19.2,0,
Cichus G,21.55,-35.5,-23.61,18.53,8.66,1.817,286.31,0.25,
Cichus H,7.25,-32.81,-22.5,6.02,1.02,1.218,15.24,0,
Cichus J,13.12,-32.05,-21.37,10.89,2.91,2.128,0,0,
Cichus K,6.2,-36.63,-20.05,5.15,0.78,1.051,9.53,0,
Cichus N,7.42,-30.58,-21.74,6.16,1.07,1.245,16.34,0,
Cinco,0.07,-9.1,15.52,0.06,0,0.012,0,0,
Clairaut,76.89,-47.84,13.86,66.13,42.39,2.783,5406.75,0,pre-Nectarian
Clairaut A,34.19,-49.05,14.75,29.4,15.41,2.091,831.54,0.63,
Clairaut B,41.45,-48.36,12.64,35.65,19.59,2.217,1297.35,0.92,
Clairaut C,16.18,-48.17,13.39,13.43,4.22,2.592,0,0,
Clairaut D,12.66,-47.43,14.19,10.51,2.74,2.058,81.16,0,
Clairaut E,29.14,-46.48,12.5,25.06,12.62,1.992,574.84,0.46,
Clairaut F,31.18,-45.78,14.35,26.81,13.73,2.033,672.1,0.53,
Clairaut G,6.24,-47.26,11.64,5.18,0.78,1.058,9.72,0,
Clairaut H,9.21,-49.12,12.11,7.64,1.56,1.525,31.25,0,
Clairaut J,13.02,-45.81,12.76,10.81,2.88,2.113,0,0,
Clairaut K,12.42,-49.78,13.91,10.31,2.65,2.021,76.63,0,
Clairaut M,5.83,-46.26,13.76,4.84,0.7,0.992,7.93,0,
Clairaut P,8.26,-49.09,11.71,6.86,1.29,1.377,22.54,0,
Clairaut R,13.55,-47.99,15.84,11.25,3.08,2.194,0,0,
Clairaut S,22.04,-47.51,16.32,18.95,8.9,1.829,301.58,0.27,
Clark,52.11,-38.67,119.35,44.81,26.08,2.376,2201.23,0,
Clark F,31.97,-38.65,123.07,27.49,14.17,2.048,712.09,0.55,Nectarian
Clausius,24.2,-36.9,-43.93,20.81,10.01,1.882,374.27,0.32,
Clausius A,7.57,-36.32,-43.91,6.28,1.1,1.268,17.35,0,
Clausius B,23.91,-36.06,-40.24,20.56,9.86,1.875,364,0.31,
Clausius BA,18.52,-35.75,-40.08,15.93,5.35,1.735,0,0.19,
Clausius C,14.76,-35.46,-39.05,12.25,3.59,2.378,0,0,
Clausius D,17.26,-38.22,-44.71,14.33,4.73,2.755,0,0.16,
Clausius E,6.74,-36.58,-45.73,5.59,0.9,1.137,12.25,0,
Clausius F,25.77,-36.55,-38.13,22.16,10.82,1.919,432.76,0.36,
Clausius G,7.03,-37.09,-41.01,5.83,0.97,1.183,13.9,0,
Clausius H,7,-37.87,-39.63,5.81,0.96,1.178,13.72,0,
Clausius J,4.39,-37.21,-42.73,3.64,0.42,0.76,3.38,0,
Clavius,230.77,-58.62,-14.73,198.46,0,3.106,0,0,Nectarian
Clavius C,20.97,-57.72,-14.19,18.03,8.37,1.802,268.82,0.24,
Clavius D,27.85,-58.82,-12.43,23.95,11.92,1.964,517.75,0.42,
Clavius E,15.75,-51.51,-12.74,13.07,4.02,2.527,0,0,
Clavius F,7.31,-55.44,-22.08,6.07,1.04,1.227,15.62,0,
Clavius G,16.75,-52.02,-14,13.9,4.48,2.678,0,0,
Clavius H,32.56,-51.84,-15.86,28,14.49,2.06,742.81,0.57,
Clavius J,12.38,-58.17,-18.17,10.28,2.63,2.015,75.9,0,
Clavius K,19.57,-60.46,-19.86,16.83,5.9,1.765,229.17,0.21,
Clavius L,23.39,-58.77,-21.34,20.12,9.59,1.863,345.97,0.3,
Clavius M,47.89,-54.76,-11.63,41.19,23.47,2.316,1811.1,1.23,
Clavius N,12.78,-57.57,-16.5,10.61,2.78,2.076,83.49,0,
Clavius O,4.41,-56.99,-16.66,3.66,0.43,0.763,3.43,0,
Clavius P,13.16,-56.93,-7.5,10.92,2.93,2.134,0,0,
Clavius R,7.65,-53.25,-15.42,6.35,1.12,1.281,17.91,0,
Clavius T,8.12,-60.68,-15.22,6.74,1.25,1.355,21.42,0,
Clavius W,5.01,-56,-16.25,4.16,0.53,0.86,5.03,0,
Clavius X,6.52,-60.25,-17.81,5.41,0.85,1.102,11.09,0,
Clavius Y,7.12,-58.02,-16.22,5.91,0.99,1.197,14.44,0,
Cleomedes,130.77,27.6,55.5,112.46,0,2.935,18437.87,0,Nectarian
Cleomedes A,12.57,28.88,55.06,10.43,2.7,2.044,79.44,0,
Cleomedes B,10.68,27.15,55.89,8.86,2.03,1.754,48.73,0,
Cleomedes C,13.85,25.66,54.83,11.5,3.21,2.239,0,0,
Cleomedes D,28.94,29.21,61.86,24.89,12.51,1.987,565.77,0.45,
Cleomedes E,21.09,28.61,54.58,18.14,8.43,1.805,272.39,0.24,
Cleomedes F,11.82,22.57,56.99,9.81,2.42,1.929,66.06,0,
Cleomedes G,19.35,24.01,57.17,16.64,5.79,1.758,223.26,0.21,
Cleomedes H,6.5,22.43,57.63,5.4,0.84,1.099,10.99,0,
Cleomedes J,10.01,26.87,56.96,8.31,1.81,1.65,40.12,0,
Cleomedes L,7.08,23.79,54.41,5.88,0.98,1.191,14.2,0,
Cleomedes M,6.29,24.19,51.66,5.22,0.8,1.066,9.95,0,
Cleomedes N,6,24.72,52.52,4.98,0.73,1.019,8.64,0,
Cleomedes P,9.49,24.7,56.2,7.88,1.65,1.569,34.19,0,
Cleomedes Q,4.47,24.81,56.69,3.71,0.44,0.773,3.57,0,
Cleomedes R,14.75,29.46,60.16,12.24,3.58,2.376,0,0,
Cleomedes S,7.58,29.46,58.95,6.29,1.11,1.27,17.42,0,
Cleomedes T,12.37,25.74,57.61,10.27,2.63,2.014,75.71,0,
Cleostratus,63.23,60.32,-77.4,54.38,33.2,2.729,3441.2,0,Nectarian
Cleostratus A,35.61,62.67,-77.65,30.62,16.21,2.117,913.5,0.68,
Cleostratus E,20.96,60.93,-79.73,18.03,8.36,1.802,268.53,0.24,
Cleostratus F,49.22,61.53,-80.58,42.33,24.28,2.336,1929.41,1.29,Nectarian
Cleostratus H,12.67,61.28,-81.97,10.52,2.74,2.059,81.36,0,
Cleostratus J,20.2,61.39,-83.66,17.37,7.98,1.782,246.57,0.22,
Cleostratus K,16.94,61.98,-81.08,14.06,4.58,2.707,0,0,
Cleostratus L,9.85,62.28,-79.3,8.18,1.76,1.625,38.23,0,
Cleostratus M,9.09,61.5,-75.2,7.54,1.52,1.507,30.04,0,
Cleostratus N,5.26,60.62,-73.77,4.37,0.58,0.9,5.82,0,
Cleostratus P,7.13,59.58,-73.2,5.92,0.99,1.199,14.5,0,
Cleostratus R,6.44,58.89,-73.28,5.35,0.83,1.089,10.68,0,
Clerke,6.66,21.68,29.8,5.53,0.88,1.124,11.82,0,
Coblentz,32.66,-38.09,126.65,28.09,14.55,2.062,748.09,0.58,Nectarian
Cochise,0.56,20.25,30.84,0.46,0.01,0.076,0.01,0,
Cockcroft,92.16,31.09,-162.91,79.26,53.16,2.834,8216.18,0,pre-Nectarian
Cockcroft N,60.65,28.78,-163.67,52.16,31.52,2.718,3125.48,0,Nectarian
Collins,2.58,1.3,23.71,2.14,0.17,0.461,0.69,0,
Colombo,79.02,-15.26,46.02,67.96,43.86,2.79,5759.03,0,Nectarian
Colombo A,40.78,-14.18,44.46,35.07,19.2,2.206,1249.42,0.89,Nectarian
Colombo B,13.48,-16.41,45.16,11.19,3.06,2.183,0,0,
Colombo E,14.93,-15.82,42.38,12.39,3.66,2.403,0,0,
Colombo G,8.95,-14.01,43.44,7.43,1.48,1.485,28.68,0,
Colombo H,14.14,-17.45,44.13,11.74,3.33,2.284,0,0,
Colombo J,5.96,-14.3,43.62,4.95,0.72,1.013,8.47,0,
Colombo K,5,-15.83,46.44,4.15,0.53,0.859,5,0,
Colombo M,15.65,-14.64,47.8,12.99,3.98,2.512,0,0,
Colombo P,5.9,-15.11,47.9,4.9,0.71,1.003,8.22,0,
Colombo T,9.96,-18.97,45.46,8.27,1.79,1.642,39.52,0,
Compton,164.63,55.86,104.05,141.58,0,3.003,0,0,Lower Imbrian
Compton E,17.75,55.37,113.24,14.73,4.97,2.828,0,0.17,
Compton R,34.37,52.52,91.06,29.56,15.51,2.094,841.69,0.64,Nectarian
Compton W,15.38,58.58,96.6,12.77,3.86,2.472,0,0,
Comrie,59.25,23.39,-113.17,50.96,30.61,2.711,2961.33,0,Nectarian
Comrie K,70.6,21.92,-112.57,60.72,38.11,2.759,4439.31,0,pre-Nectarian
Comrie T,42.45,23.05,-115.66,36.51,20.19,2.233,1370.8,0.97,Nectarian
Comrie V,28.49,24.58,-116.16,24.5,12.27,1.978,545.65,0.44,
Comstock,73.23,21.59,-122.05,62.98,39.89,2.769,4830.68,0,pre-Nectarian
Comstock A,20.34,24.69,-121.67,17.49,8.05,1.785,250.53,0.23,
Comstock P,24.4,19.94,-123.33,20.98,10.11,1.887,381.46,0.32,
Condon,34.85,1.87,60.36,29.97,15.78,2.103,869.09,0.66,
Condorcet,74.85,12.1,69.58,64.37,40.99,2.775,5081.13,0,Nectarian
Condorcet A,15.38,11.51,67.29,12.77,3.86,2.472,0,0,
Condorcet D,19.8,9.84,68.35,17.03,6.03,1.771,235.44,0.22,
Condorcet E,8.03,11.35,68.16,6.66,1.23,1.341,20.71,0,
Condorcet F,39.66,8.27,73.09,34.11,18.54,2.187,1171.58,0.85,Nectarian
Condorcet G,10.31,10.65,67.97,8.56,1.9,1.696,43.84,0,
Condorcet H,21.04,12.45,65.08,18.09,8.4,1.804,270.9,0.24,
Condorcet J,16.25,13.07,65.2,13.49,4.25,2.603,0,0,
Condorcet L,12.57,10.15,73.67,10.43,2.7,2.044,79.44,0,
Condorcet M,10.54,9.07,73.12,8.75,1.98,1.732,46.84,0,
Condorcet N,5.02,8.98,72.61,4.17,0.53,0.862,5.06,0,
Condorcet P,48.4,8.76,70.29,41.62,23.78,2.324,1855.96,1.25,Nectarian
Condorcet Q,35.81,11.23,73.36,30.8,16.32,2.12,925.39,0.69,
Condorcet R,19.89,11.75,74.75,17.11,6.07,1.773,237.92,0.22,
Condorcet S,10.2,10.67,75.64,8.47,1.87,1.679,42.45,0,
Condorcet T,14.67,11.8,65.84,12.18,3.55,2.364,0,0,
Condorcet TA,14.6,12.16,65.72,12.12,3.52,2.353,0,0,
Condorcet U,10.97,10.08,75.4,9.11,2.12,1.798,52.81,0,
Condorcet W,35.83,13.94,67,30.81,16.33,2.121,926.59,0.69,
Condorcet X,8.88,10.12,69.95,7.37,1.46,1.474,28.01,0,
Condorcet Y,14.19,12.86,68.92,11.78,3.35,2.291,0,0,
Cone,0.33,-3.62,-17.43,0.27,0,0.048,0,0,
Congreve,57.61,-0.28,-167.84,49.54,29.56,2.45,2775.41,0,Nectarian
Congreve G,17.5,-0.89,-163.88,14.53,4.85,2.791,0,0.17,
Congreve H,37.96,-1.31,-165.74,32.65,17.56,2.158,1058.82,0.78,Nectarian
Congreve L,29.91,-3.73,-166.83,25.72,13.04,2.007,610.54,0.48,Nectarian
Congreve N,29.93,-3.66,-168.57,25.74,13.05,2.008,611.48,0.49,
Congreve Q,55.35,-1.74,-169.56,47.6,28.12,2.42,2530.34,0,Nectarian
Congreve U,54.72,0.4,-170.75,47.06,27.72,2.412,2464.3,0,Nectarian
Conon,20.96,21.66,1.95,18.03,8.36,1.802,268.53,0.24,Copernican
Conon A,6.03,19.68,4.38,5,0.74,1.024,8.77,0,
Conon W,4.01,18.72,3.07,3.33,0.36,0.698,2.58,0,
Conon Y,3.72,22.34,1.82,3.09,0.32,0.65,2.06,0,
Cook,45.16,-17.5,48.81,38.84,21.81,2.275,1581.46,1.09,Nectarian
Cook A,5.83,-17.76,49.21,4.84,0.7,0.992,7.93,0,Eratosthenian
Cook B,8.99,-17.3,51.64,7.46,1.5,1.491,29.06,0,
Cook C,4.95,-18.19,51.28,4.11,0.52,0.85,4.85,0,
Cook D,4.75,-20.17,53.38,3.94,0.48,0.818,4.29,0,
Cook E,6.15,-18.43,55.1,5.1,0.77,1.043,9.3,0,
Cook F,7.05,-17.59,55.37,5.85,0.97,1.186,14.02,0,
Cook G,9.9,-18.94,48.69,8.22,1.77,1.633,38.81,0,
Cooper,51.87,52.68,175.92,44.61,25.93,2.373,2177.88,0,
Cooper G,19.47,52.42,178.76,16.74,5.85,1.762,226.47,0.21,
Cooper K,32.23,50.86,178.09,27.72,14.31,2.054,725.53,0.56,
Copernicus,96.07,9.62,-20.08,82.62,55.99,2.846,9043.88,0,Copernican
Copernicus A,3.22,9.52,-18.9,2.67,0.24,0.567,1.34,0,
Copernicus B,7.55,7.5,-22.39,6.27,1.1,1.265,17.21,0,
Copernicus C,5.73,7.12,-15.44,4.76,0.68,0.976,7.53,0,
Copernicus D,5.09,12.2,-24.8,4.22,0.55,0.873,5.27,0,
Copernicus E,4.12,6.4,-22.7,3.42,0.38,0.716,2.8,0,
Copernicus F,3.33,5.89,-22.24,2.76,0.26,0.586,1.48,0,
Copernicus G,4.14,5.92,-21.51,3.44,0.38,0.719,2.84,0,
Copernicus H,4.4,6.89,-18.29,3.65,0.42,0.761,3.41,0,Copernican
Copernicus J,5.71,10.13,-23.94,4.74,0.67,0.973,7.45,0,
Copernicus L,3.89,13.48,-17.08,3.23,0.34,0.678,2.35,0,
Copernicus N,6.33,6.91,-23.31,5.25,0.81,1.072,10.15,0,
Copernicus P,4.32,10.11,-16.06,3.59,0.41,0.748,3.22,0,
Copernicus R,3.57,8.06,-16.84,2.96,0.29,0.625,1.82,0,
Cori,67.22,-50.48,-152.91,57.81,35.84,2.746,3963.68,0,Nectarian
Cori G,20.54,-50.98,-147.87,17.66,8.15,1.791,256.26,0.23,
Coriolis,78.56,0.56,171.8,67.56,43.55,2.789,5681.88,0,Nectarian
Coriolis C,17.27,1.89,173.2,14.33,4.73,2.756,0,0.16,
Coriolis G,17.74,-0.04,174.55,14.72,4.96,2.827,0,0.17,
Coriolis H,13.03,-0.59,174.06,10.81,2.88,2.114,0,0,
Coriolis L,30.52,-2.04,172.6,26.25,13.37,2.02,639.69,0.5,Nectarian
Coriolis M,28.37,-1.5,171.52,24.4,12.2,1.975,540.36,0.44,Nectarian
Coriolis S,17.54,0.1,169.66,14.56,4.86,2.797,0,0.17,
Coriolis W,37.57,3.06,168.05,32.31,17.33,2.151,1033.86,0.76,
Coriolis Y,30.87,3.57,170.96,26.55,13.56,2.027,656.76,0.52,Eratosthenian
Coriolis Z,42.39,3.92,171.48,36.46,20.15,2.232,1366.33,0.96,
Couder,18.56,-4.9,-92.58,15.96,5.38,1.736,0,0.19,
Coulomb,89.72,54.46,-115,77.16,51.4,2.826,7722.38,0,Nectarian
Coulomb C,34.17,57.17,-111.38,29.39,15.39,2.09,830.42,0.63,Nectarian
Coulomb J,33.66,52.97,-112.04,28.95,15.11,2.081,802.07,0.61,
Coulomb N,30.64,50.32,-116.01,26.35,13.43,2.022,645.51,0.51,Upper Imbrian
Coulomb P,35.7,50.26,-117.74,30.7,16.26,2.118,918.84,0.69,Nectarian
Coulomb V,33.12,55.28,-118.38,28.48,14.81,2.071,772.65,0.59,
Coulomb W,32.76,56.16,-120.91,28.17,14.61,2.064,753.39,0.58,
Coulomb-Sarton,440,52,-123,378.4,0,3.313,0,0,pre-Nectarian 
Courtney,1.24,25.14,-30.81,1.03,0.05,0.231,0.08,0,
Cremona,85.12,67.24,-90.86,73.2,48.13,2.811,6838.33,0,Nectarian
Cremona A,42.86,69.22,-90.88,36.86,20.43,2.239,1401.58,0.98,
Cremona B,19.29,67.76,-92.11,16.59,5.75,1.757,221.66,0.2,
Cremona C,14.43,67.27,-91.86,11.98,3.45,2.328,0,0,
Cremona L,21.6,65.94,-89.96,18.58,8.68,1.818,287.85,0.26,
Crescent,1.98,-3,-23.43,1.64,0.1,0.359,0.31,0,
Crile,9.3,14.21,45.98,7.72,1.59,1.539,32.17,0,
Crisium,740,18,59,636.4,0,3.49,0,0,Nectarian 
Crocco,67.5,-46.98,150.51,58.05,36.03,2.747,4001.92,0,Nectarian
Crocco E,14.16,-46.37,152.27,11.75,3.33,2.287,0,0,
Crocco G,40.18,-47.43,152.52,34.55,18.85,2.196,1207.37,0.87,Lower Imbrian
Crocco R,48.1,-47.86,147.78,41.37,23.6,2.319,1829.5,1.24,
Crommelin,93.48,-67.46,-147.95,80.39,54.11,2.838,8490.58,0,pre-Nectarian
Crommelin C,41.58,-65.46,-144.09,35.76,19.67,2.219,1306.77,0.93,Nectarian
Crommelin W,22.3,-65.62,-153.67,19.18,9.03,1.836,309.86,0.27,
Crommelin X,26.74,-65.97,-150.71,23,11.33,1.94,471.32,0.39,
Crookes,48.25,-10.4,-165.1,41.5,23.69,2.322,1842.7,1.24,Copernican
Crookes D,40.14,-9.6,-163.28,34.52,18.82,2.195,1204.59,0.87,Nectarian
Crookes P,20.38,-11.64,-165.68,17.53,8.07,1.786,251.67,0.23,
Crookes X,22.54,-7.13,-166.68,19.38,9.16,1.842,317.61,0.28,
Crozier,22.51,-13.56,50.72,19.36,9.14,1.841,316.64,0.28,
Crozier B,8.86,-12.55,52.39,7.35,1.46,1.471,27.82,0,
Crozier D,19.37,-13.46,51.59,16.66,5.8,1.759,223.79,0.21,
Crozier E,6.03,-12.67,51.95,5,0.74,1.024,8.77,0,
Crozier F,4.64,-12.79,51,3.85,0.47,0.8,4,0,
Crozier G,4.07,-12.02,49.99,3.38,0.37,0.707,2.7,0,
Crozier H,10.52,-14.01,49.38,8.73,1.97,1.729,46.57,0,
Crozier L,8.36,-10,51.5,6.94,1.32,1.393,23.37,0,
Crozier M,5.92,-8.84,51.36,4.91,0.72,1.006,8.3,0,
Cruger,45.94,-16.68,-66.96,39.51,22.28,2.287,1645.27,1.13,Lower Imbrian
Cruger A,24.89,-16.01,-62.85,21.41,10.36,1.898,399.39,0.34,
Cruger B,12.95,-17.2,-71.78,10.75,2.85,2.102,86.87,0,
Cruger C,12.12,-16.85,-62.03,10.06,2.53,1.975,71.21,0,
Cruger D,12.51,-15.33,-64.65,10.38,2.68,2.035,78.31,0,
Cruger E,14.85,-17.53,-65.34,12.33,3.63,2.391,0,0,
Cruger F,8.47,-14.18,-64.47,7.03,1.35,1.41,24.31,0,
Cruger G,7.94,-17.89,-68.07,6.59,1.2,1.327,20.02,0,
Cruger H,6.9,-18.01,-65.35,5.73,0.94,1.162,13.14,0,
Ctesibius,32.1,0.83,118.75,27.61,14.24,2.051,718.79,0.56,Lower Imbrian
Curie,138.87,-23.05,92.28,119.43,0,2.952,21183.73,0,pre-Nectarian
Curie C,47.98,-21.24,94.35,41.26,23.52,2.318,1818.97,1.23,Nectarian
Curie E,38.42,-22.43,96.43,33.04,17.82,2.166,1088.69,0.79,Nectarian
Curie G,49.95,-23.64,94.84,42.96,24.74,2.346,1996.15,1.33,Nectarian
Curie K,11.1,-23.73,92.95,9.21,2.17,1.818,54.71,0,
Curie L,21.09,-26.24,93.05,18.14,8.43,1.805,272.39,0.24,
Curie M,36.58,-28.6,92.51,31.46,16.76,2.134,972.01,0.72,Nectarian
Curie P,29.37,-28.54,90.2,25.26,12.74,1.996,585.38,0.47,
Curie V,21.12,-22.11,90.68,18.16,8.44,1.806,273.29,0.24,
Curie Z,21.97,-20.55,92.5,18.89,8.87,1.828,299.37,0.26,
Curtis,2.88,14.57,56.79,2.39,0.2,0.511,0.96,0,
Curtius,99.29,-67.08,4.4,85.39,58.34,2.855,9759.53,0,Nectarian
Curtius A,11.73,-68.5,2.52,9.74,2.39,1.915,64.56,0,
Curtius B,40.26,-63.76,4.63,34.62,18.89,2.197,1212.93,0.87,Nectarian
